Index,Degree of Regression,R-Square on training data,R-Square on testing data,Model Variance
Nifty Auto,1,0.21264818979956268,-19.016024494314294,19.228672684113857
Nifty Auto,2,0.3617231817583223,-46.61078205061849,46.97250523237681
Nifty Auto,3,0.6559835265746643,-1.4063397349179674,2.0623232614926317
Nifty Auto,4,0.6587532352017477,0.08056759584848994,0.5781856393532577
Nifty Auto,5,0.7133204916749734,-45.13693007445853,45.850250566133504
Nifty Auto,6,0.5494547491949385,-0.557597786154971,1.1070525353499097
Nifty Auto,7,0.5256155659968806,-0.09392228119562529,0.6195378471925059
Nifty Bank,1,0.41358753345864896,-0.11499610187564491,0.5285836353342939
Nifty Bank,2,0.505744455412072,-2.171626038009275,2.677370493421347
Nifty Bank,3,0.5600165390338694,-0.6080563078676886,1.168072846901558
Nifty Bank,4,0.5893842839848642,-8.775610488894554,9.364994772879419
Nifty Bank,5,0.6057393776480845,-0.2811195338823791,0.8868589115304636
Nifty Bank,6,0.5910007527245223,-10.703344759620693,11.294345512345215
Nifty Bank,7,0.5156652807155169,-50.411181192469066,50.92684647318458
Nifty FMCG,1,0.06317859193255249,-6.119276998167808,6.182455590100361
Nifty FMCG,2,0.3575298914338533,0.34492631835528476,0.01260357307856852
Nifty FMCG,3,0.39098866662762477,-1.7012047994124195,2.0921934660400443
Nifty FMCG,4,0.3910716247668762,-2.042036082509763,2.433107707276639
Nifty FMCG,5,0.3968902763247427,0.4819557791435586,-0.08506550281881586
Nifty FMCG,6,0.4232854544628375,-24.03508052702344,24.458365981486278
Nifty FMCG,7,0.23229154156616705,-5.629711806335394,5.862003347901561
Nifty Media,1,0.015713070172324817,-12.944573283197506,12.960286353369831
Nifty Media,2,0.2974803110435599,-57.12270566826026,57.42018597930382
Nifty Media,3,0.3402406934364799,-25.977304198928,26.31754489236448
Nifty Media,4,0.43550632185184024,-1.476483932577318,1.9119902544291583
Nifty Media,5,0.45010425576753166,-10.934085522275248,11.38418977804278
Nifty Media,6,0.39772476965094383,-2.7788316543773623,3.1765564240283064
Nifty Media,7,0.33217537468799185,-7.323626732427535,7.655802107115527
Nifty Midcap 50,1,0.014872155610871851,-31.906862661498277,31.921734817109147
Nifty Midcap 50,2,0.4627753585038602,-83.20933213758549,83.67210749608935
Nifty Midcap 50,3,0.5486900269094261,-0.8636954482160923,1.4123854751255185
Nifty Midcap 50,4,0.548726047777788,-1.633672505300993,2.182398553078781
Nifty Midcap 50,5,0.591914955099804,-370.6250024113667,371.21691736646653
Nifty Midcap 50,6,0.6035584641106946,0.21065763299620233,0.39290083111449225
Nifty Midcap 50,7,0.3441268888135071,-1794.6967929553452,1795.0409198441587
Nifty,1,0.005710543570200288,0.005764541118274291,-5.399754807400292e-05
Nifty,2,0.0682120734639754,-3.616284309121667,3.6844963825856425
Nifty,3,0.11203719407656276,-0.710837041905556,0.8228742359821187
Nifty,4,0.2791059146981141,-78.73479676420085,79.01390267889897
Nifty,5,0.25125176157246454,-4.309845399178247,4.561097160750712
Nifty,6,0.34115641322823004,-91.80195547813614,92.14311189136437
Nifty,7,0.28214785251187724,-370.75164484057206,371.0337926930839
Nifty IT,1,0.21217940152772063,-54.634688632448615,54.846868033976335
Nifty IT,2,0.31388692839712384,-70.04722715211777,70.3611140805149
Nifty IT,3,0.451586334499989,-440.2120316232955,440.6636179577955
Nifty IT,4,0.6079843420153377,-970.64212480737,971.2501091493854
Nifty IT,5,0.3067608349374378,-731.607011584924,731.9137724198614
Nifty IT,6,0.21239399464420894,-314.41847594384933,314.63086993849356
Nifty IT,7,0.1842835438413013,-468.7898006537668,468.9740841976081
Nifty Pharma,1,0.05566753100875832,-49.4074363335642,49.46310386457296
Nifty Pharma,2,0.5495641356438562,-34.28145663496786,34.831020770611715
Nifty Pharma,3,0.5526008707334866,-55.437537161826285,55.99013803255977
Nifty Pharma,4,0.8176001013368048,-298.5106059405501,299.32820604188686
Nifty Pharma,5,0.8216761263027792,-136.2932203691903,137.11489649549307
Nifty Pharma,6,0.856703569395249,-266.01070125687403,266.86740482626925
Nifty Pharma,7,0.8261188368987054,-477.71543357670134,478.5415524136001
Nifty Realty,1,0.3013740777054532,-689.9934803220552,690.2948543997607
Nifty Realty,2,0.6001271369832408,-957.3216581705392,957.9217853075224
Nifty Realty,3,0.7751118759880011,-1543.881253223636,1544.6563650996238
Nifty Realty,4,0.8434624931217339,-1139.0122425413285,1139.8557050344502
Nifty Realty,5,0.8410847519948073,-961.4529623727142,962.294047124709
Nifty Realty,6,0.498990373656891,-20849.512901577928,20850.011891951584
Nifty Realty,7,0.36744323481560753,-33807.47137080713,33807.83881404194
